t,sensor_type,sensor_id,vehicle_id_oracle,global_track_id,segment_id,x,y,speed_mps,heading_rad,sigma_m,sigma_v,confidence,snr,accepted,skipped,skip_reason,update_kind,kalman_t,kalman_row_index
0.0500,Camera,cam1,veh1,T000001,seg1,-109.4964,-5.3251,15.5680,0.0373,0.2202,0.0000,0.5646,0.0000,1,0,,position+velocity,0.0500,0
0.1500,Camera,cam1,veh1,T000001,seg1,-107.9855,-5.2678,15.5680,0.0373,0.2201,0.0000,0.5695,0.0000,1,0,,position+velocity,0.1500,2
0.3000,Camera,cam1,veh1,T000001,seg1,-106.2421,-5.0608,15.5680,0.0373,0.2198,0.0000,0.5774,0.0000,1,0,,position+velocity,0.3000,5
0.4500,Camera,cam1,veh1,T000001,seg1,-103.6378,-4.6762,15.5680,0.0373,0.2184,0.0000,0.5883,0.0000,1,0,,position+velocity,0.4500,8
0.6000,Camera,cam1,veh1,T000001,seg1,-101.0360,-4.2143,15.5680,0.0373,0.2169,0.0000,0.5990,0.0000,1,0,,position+velocity,0.6000,11
0.9000,Camera,cam1,veh1,T000001,seg1,-96.2875,-5.0911,15.5680,0.0373,0.2262,0.0000,0.5792,0.0000,1,0,,position+velocity,0.9000,17
1.2500,Camera,cam1,veh1,T000001,seg1,-91.3917,-4.6210,15.5680,0.0373,0.2295,0.0000,0.5799,0.0000,1,0,,position+velocity,1.2500,24
1.4500,Camera,cam1,veh1,T000001,seg1,-87.6126,-4.1652,15.5680,0.0373,0.2331,0.0000,0.5748,0.0000,1,0,,position+velocity,1.4500,28
1.6500,Camera,cam1,veh1,T000001,seg1,-84.4999,-4.2819,15.5680,0.0373,0.2392,0.0000,0.5618,0.0000,1,0,,position+velocity,1.6500,32
2.1000,Camera,cam1,veh1,T000001,seg1,-77.8935,-5.8856,15.5680,0.0373,0.2526,0.0000,0.5349,0.0000,1,0,,position+velocity,2.1000,41
2.2500,Camera,cam1,veh1,T000001,seg1,-75.2635,-5.6827,15.5680,0.0373,0.2569,0.0000,0.5264,0.0000,1,0,,position+velocity,2.2500,44
2.8500,Camera,cam1,veh1,T000001,seg1,-66.1202,-5.3751,15.5680,0.0373,0.2693,0.0000,0.5057,0.0000,1,0,,position+velocity,2.8500,56
3.0000,Camera,cam1,veh1,T000001,seg1,-63.6522,-4.9004,15.5680,0.0373,0.2720,0.0000,0.5013,0.0000,1,0,,position+velocity,3.0000,59
3.1500,Camera,cam1,veh1,T000001,seg1,-61.2736,-6.0671,15.5680,0.0373,0.2767,0.0000,0.4920,0.0000,1,0,,position+velocity,3.1500,62
3.6000,Camera,cam1,veh1,T000001,seg1,-54.2259,-4.9787,15.5680,0.0373,0.2862,0.0000,0.4757,0.0000,1,0,,position+velocity,3.6000,71
3.9000,Camera,cam1,veh1,T000001,seg1,-49.3233,-4.9322,15.5680,0.0373,0.2928,0.0000,0.4640,0.0000,1,0,,position+velocity,3.9000,77
4.0500,Camera,cam1,veh1,T000001,seg1,-46.7828,-4.6428,15.5680,0.0373,0.2960,0.0000,0.4583,0.0000,1,0,,position+velocity,4.0500,80
4.2000,Camera,cam1,veh1,T000001,seg1,-44.7378,-4.5705,15.5680,0.0373,0.2996,0.0000,0.4519,0.0000,1,0,,position+velocity,4.2000,83
4.4000,GPS,gps1,veh1,T000001,seg1,-48.9615,-5.3846,15.5680,0.0373,3.2049,0.0000,0.3783,0.0000,1,0,,position+velocity,4.4000,87
4.6500,GPS,gps1,veh1,T000001,seg1,-44.7773,-1.8615,15.5680,0.0373,2.9805,0.0000,0.4130,0.0000,1,0,,position+velocity,4.6500,92
4.8000,Camera,cam1,veh1,T000001,seg1,-35.8444,-2.6821,15.5680,0.0373,0.3108,0.0000,0.4324,0.0000,1,0,,position+velocity,4.8000,95
4.9000,GPS,gps1,veh1,T000001,seg1,-35.9636,-7.0690,15.5680,0.0373,2.7996,0.0000,0.4436,0.0000,1,0,,position+velocity,4.9000,97
4.9500,Camera,cam1,veh1,T000001,seg1,-33.2681,-2.6643,15.5680,0.0373,0.3144,0.0000,0.4257,0.0000,1,0,,position+velocity,4.9500,98
5.1000,Camera,cam1,veh1,T000001,seg1,-30.6068,-2.1295,15.5680,0.0373,0.3183,0.0000,0.4188,0.0000,1,0,,position+velocity,5.1000,101
5.1500,GPS,gps1,veh1,T000001,seg1,-28.1078,-2.2261,15.5680,0.0373,2.6615,0.0000,0.4687,0.0000,1,0,,position+velocity,5.1500,102
5.4000,Camera,cam1,veh1,T000001,seg1,-26.2654,-0.4959,15.5680,0.0373,0.3242,0.0000,0.4081,0.0000,1,0,,position+velocity,5.4000,107
5.4000,GPS,gps1,veh1,T000001,seg1,-24.5494,-2.6432,15.5680,0.0373,2.5660,0.0000,0.4870,0.0000,1,0,,position+velocity,5.4000,107
5.5500,Camera,cam1,veh1,T000001,seg1,-23.8919,-2.0466,15.5680,0.0373,0.3288,0.0000,0.3999,0.0000,1,0,,position+velocity,5.5500,110
5.6500,GPS,gps1,veh1,T000001,seg1,-18.6085,1.2316,15.5680,0.0373,2.5122,0.0000,0.4976,0.0000,1,0,,position+velocity,5.6500,112
5.8500,Camera,cam1,veh1,T000001,seg1,-19.3147,-1.8878,15.5680,0.0373,0.3367,0.0000,0.3859,0.0000,1,0,,position+velocity,5.8500,116
5.9000,GPS,gps1,veh1,T000001,seg1,-18.2672,-1.4422,15.5680,0.0373,2.5015,0.0000,0.4997,0.0000,1,0,,position+velocity,5.9000,117
6.1500,GPS,gps1,veh1,T000001,seg1,-16.3144,-1.8552,15.5680,0.0373,2.5350,0.0000,0.4931,0.0000,1,0,,position+velocity,6.1500,122
6.4000,GPS,gps1,veh1,T000001,seg1,-11.8667,-3.2944,15.5680,0.0373,2.6075,0.0000,0.4790,0.0000,1,0,,position+velocity,6.4000,127
6.6500,GPS,gps1,veh1,T000001,seg1,-8.1267,-3.8282,15.5680,0.0373,2.7255,0.0000,0.4569,0.0000,1,0,,position+velocity,6.6500,132
6.7500,Camera,cam1,veh1,T000001,seg1,-4.9369,-2.1795,15.5680,0.0373,0.3606,0.0000,0.3453,0.0000,1,0,,position+velocity,6.7500,134
6.9000,GPS,gps1,veh1,T000001,seg1,-4.5915,-3.2552,15.5680,0.0373,2.8854,0.0000,0.4288,0.0000,1,0,,position+velocity,6.9000,137
7.0500,Camera,cam1,veh1,T000001,seg1,-1.0533,-3.1786,15.5680,0.0373,0.3685,0.0000,0.3325,0.0000,1,0,,position+velocity,7.0500,140
7.1500,GPS,gps1,veh1,T000001,seg1,-4.2482,-4.0078,15.4894,0.0373,3.0864,0.0000,0.3962,0.0000,1,0,,position+velocity,7.1500,142
7.4000,DAS,das1,veh1,T000001,seg2,4.3199,-3.2067,0.0000,-0.2487,0.5312,0.0000,0.6392,14.1756,1,0,,position,7.4000,147
7.4000,GPS,gps1,veh1,T000001,seg2,6.8058,-0.9990,15.1342,-0.2487,3.3080,0.0000,0.3635,0.0000,1,0,,position+velocity,7.4000,147
7.4500,DAS,das1,veh1,T000001,seg2,5.7368,-3.1404,28.3679,0.0468,0.5379,16.2305,0.6335,13.8270,1,0,,position+velocity,7.4500,148
7.5000,Camera,cam1,veh1,T000001,seg2,6.0485,-2.2259,15.0082,-0.2487,0.3790,0.0000,0.3153,0.0000,1,0,,position+velocity,7.5000,149
7.5000,DAS,das1,veh1,T000001,seg2,7.3676,-2.6664,33.9660,0.2829,0.4864,14.8749,0.6788,16.9076,1,0,,position+velocity,7.5000,149
7.5500,DAS,das1,veh1,T000001,seg2,7.4610,-3.4953,16.6846,-1.4586,0.4913,15.0044,0.6744,16.5689,1,0,,position+velocity,7.5500,150
7.6000,DAS,das1,veh1,T000001,seg2,8.2775,-2.9558,19.5720,0.5839,0.4947,15.0937,0.6713,16.3414,1,0,,position+velocity,7.6000,151
7.6500,DAS,das1,veh1,T000001,seg2,7.9260,-3.2729,9.4668,-2.4078,0.4861,14.8675,0.6791,16.9273,1,0,,position+velocity,7.6500,152
7.7000,DAS,das1,veh1,T000001,seg2,9.0018,-3.2862,21.5176,-0.0124,0.4478,13.8719,0.7137,19.9466,1,0,,position+velocity,7.7000,153
7.7500,DAS,das1,veh1,T000001,seg2,9.8413,-2.2992,25.9141,0.8659,0.3857,12.2876,0.7707,26.8942,1,0,,position+velocity,7.7500,154
7.8000,Camera,cam1,veh1,T000001,seg2,10.4000,-1.9848,14.6774,-0.2487,0.3866,0.0000,0.3034,0.0000,1,0,,position+velocity,7.8000,155
7.8000,DAS,das1,veh1,T000001,seg2,10.3379,-2.3522,9.9879,-0.1063,0.3447,11.2712,0.8080,33.6700,1,0,,position+velocity,7.8000,155
7.8500,DAS,das1,veh1,T000001,seg2,11.6664,-3.0206,29.7435,-0.4661,0.3554,11.5341,0.7983,31.6721,1,0,,position+velocity,7.8500,156
7.9000,DAS,das1,veh1,T000001,seg2,11.5897,-3.0269,1.5390,-3.0592,0.3910,12.4218,0.7658,26.1652,1,0,,position+velocity,7.9000,157
7.9500,DAS,das1,veh1,T000001,seg2,13.2406,-2.8993,33.1159,0.0772,0.3775,12.0838,0.7782,28.0657,1,0,,position+velocity,7.9500,158
8.0000,DAS,das1,veh1,T000001,seg2,13.9778,-3.5400,19.5356,-0.7155,0.3830,12.2200,0.7732,27.2740,1,0,,position+velocity,8.0000,159
8.0500,DAS,das1,veh1,T000001,seg2,14.1654,-3.2104,7.5841,1.0535,0.3756,12.0345,0.7800,28.3612,1,0,,position+velocity,8.0500,160
8.1000,Camera,cam1,veh1,T000001,seg2,14.5978,-4.0535,14.4076,-0.2487,0.3948,0.0000,0.2915,0.0000,1,0,,position+velocity,8.1000,161
