t,global_track_id,vehicle_id_oracle,segment_id,update_kind,true_x,true_y,true_distance_m,gps_x,gps_y,gps_distance_m,cam_x,cam_y,cam_distance_m,das_x,das_y,das_fiber_position_m,das_distance_m,x_hat,y_hat,vx_hat,vy_hat,ax_hat,ay_hat,distance_hat_m,sigma_pos_m,sigma_vel_mps,pos_err_m
0.0500,T000001,veh1,seg1,position+velocity,-109.5448,-5.5218,0.0000,,,,-109.4964,-5.3251,0.0000,,,,,-109.4971,-5.3278,15.5572,0.5805,0.0000,0.0000,0.0000,0.2911,1.2829,0.1998
0.1000,T000001,veh1,seg1,prediction_only,-108.7784,-5.1879,0.8360,,,,,,,,,,,-108.7192,-5.2988,15.5572,0.5805,0.0000,0.0000,0.7784,0.2981,1.2877,0.1256
0.1500,T000001,veh1,seg1,position+velocity,-107.9883,-5.4848,1.6800,,,,-107.9855,-5.2678,1.6800,,,,,-107.9646,-5.2687,15.5319,0.5816,-0.0015,0.0001,1.5336,0.2119,0.9947,0.2174
0.2000,T000001,veh1,seg1,prediction_only,-107.2188,-5.2339,2.4895,,,,,,,,,,,-107.1880,-5.2396,15.5318,0.5816,-0.0015,0.0001,2.3107,0.2287,1.0209,0.0312
0.2500,T000001,veh1,seg1,prediction_only,-106.4462,-5.0634,3.2806,,,,,,,,,,,-106.4115,-5.2106,15.5317,0.5816,-0.0015,0.0001,3.0878,0.2552,1.0723,0.1512
0.3000,T000001,veh1,seg1,position+velocity,-105.6585,-5.2972,4.1022,,,,-106.2421,-5.0608,3.2806,,,,,-105.9138,-5.1259,14.9484,0.6986,-0.2126,0.0436,3.5926,0.1963,0.8486,0.3074
0.3500,T000001,veh1,seg1,prediction_only,-104.8820,-5.2309,4.8815,,,,,,,,,,,-105.1667,-5.0910,14.9378,0.7007,-0.2126,0.0436,4.3406,0.2207,0.9255,0.3172
0.4000,T000001,veh1,seg1,prediction_only,-104.1140,-4.9395,5.7030,,,,,,,,,,,-104.4200,-5.0559,14.9272,0.7029,-0.2126,0.0436,5.0880,0.2523,1.0315,0.3274
0.4500,T000001,veh1,seg1,position+velocity,-103.3395,-4.8197,6.4867,,,,-103.6378,-4.6762,6.4867,,,,,-103.6350,-4.8669,15.1273,1.0527,0.2597,0.2812,5.8955,0.1929,0.8284,0.2993
0.5000,T000001,veh1,seg1,prediction_only,-102.5693,-4.5851,7.2918,,,,,,,,,,,-102.8783,-4.8139,15.1403,1.0667,0.2597,0.2812,6.6540,0.2199,0.9472,0.3845
0.5500,T000001,veh1,seg1,prediction_only,-101.7936,-4.4989,8.0723,,,,,,,,,,,-102.1210,-4.7602,15.1533,1.0808,0.2597,0.2812,7.4133,0.2547,1.0899,0.4189
0.6000,T000001,veh1,seg1,position+velocity,-101.0268,-4.1739,8.9052,,,,-101.0360,-4.2143,8.9052,,,,,-101.1958,-4.4967,15.6764,1.5368,1.0855,0.5821,8.3752,0.1913,0.8551,0.3644
0.6500,T000001,veh1,seg1,prediction_only,-100.2534,-4.0252,9.6927,,,,,,,,,,,-100.4106,-4.4191,15.7307,1.5659,1.0855,0.5821,9.1642,0.2202,0.9888,0.4241
0.7000,T000001,veh1,seg1,prediction_only,-99.4750,-4.0096,10.4713,,,,,,,,,,,-99.6228,-4.3401,15.7850,1.5950,1.0855,0.5821,9.9561,0.2579,1.1419,0.3620
0.7500,T000001,veh1,seg1,prediction_only,-98.6930,-4.0919,11.2576,,,,,,,,,,,-98.8321,-4.2596,15.8393,1.6241,1.0855,0.5821,10.7508,0.3052,1.3151,0.2179
0.8000,T000001,veh1,seg1,prediction_only,-97.9012,-4.4369,12.1213,,,,,,,,,,,-98.0388,-4.1777,15.8936,1.6532,1.0855,0.5821,11.5483,0.3628,1.5082,0.2935
0.8500,T000001,veh1,seg1,prediction_only,-97.1168,-4.5819,12.9189,,,,,,,,,,,-97.2428,-4.0943,15.9478,1.6823,1.0855,0.5821,12.3487,0.4313,1.7203,0.5037
0.9000,T000001,veh1,seg1,position+velocity,-96.3242,-4.9484,13.7922,,,,-96.2875,-5.0911,13.7922,,,,,-96.3717,-4.7346,16.1110,-0.4059,1.0933,-2.6542,13.4298,0.2330,0.9300,0.2190
0.9500,T000001,veh1,seg1,prediction_only,-95.5378,-5.1487,14.6037,,,,,,,,,,,-95.5648,-4.7582,16.1656,-0.5386,1.0933,-2.6542,14.2371,0.2674,1.0449,0.3914
1.0000,T000001,veh1,seg1,prediction_only,-94.7665,-4.9440,15.4017,,,,,,,,,,,-94.7552,-4.7885,16.2203,-0.6713,1.0933,-2.6542,15.0473,0.3094,1.1744,0.1559
1.0500,T000001,veh1,seg1,prediction_only,-93.9918,-4.8308,16.1847,,,,,,,,,,,-93.9428,-4.8254,16.2749,-0.8040,1.0933,-2.6542,15.8605,0.3594,1.3218,0.0493
1.1000,T000001,veh1,seg1,prediction_only,-93.2286,-4.4080,17.0571,,,,,,,,,,,-93.1277,-4.8689,16.3296,-0.9367,1.0933,-2.6542,16.6768,0.4178,1.4886,0.4718
1.1500,T000001,veh1,seg1,prediction_only,-92.4486,-4.4358,17.8376,,,,,,,,,,,-92.3098,-4.9190,16.3843,-1.0694,1.0933,-2.6542,17.4962,0.4853,1.6748,0.5028
1.2000,T000001,veh1,seg1,prediction_only,-91.6852,-4.0197,18.7071,,,,,,,,,,,-91.4892,-4.9758,16.4389,-1.2021,1.0933,-2.6542,18.3187,0.5625,1.8801,0.9761
1.2500,T000001,veh1,seg1,position+velocity,-90.9009,-4.1628,19.5043,,,,-91.3917,-4.6210,18.7071,,,,,-91.2242,-4.6440,15.0860,-0.1243,-0.7248,-0.7968,18.7434,0.2522,0.8786,0.5797
1.3000,T000001,veh1,seg1,prediction_only,-90.1341,-3.8374,20.3373,,,,,,,,,,,-90.4708,-4.6512,15.0497,-0.1642,-0.7248,-0.7968,19.4968,0.2835,0.9742,0.8807
1.3500,T000001,veh1,seg1,prediction_only,-89.3473,-4.0497,21.1523,,,,,,,,,,,-89.7192,-4.6604,15.0135,-0.2040,-0.7248,-0.7968,20.2485,0.3211,1.0849,0.7150
1.4000,T000001,veh1,seg1,prediction_only,-88.5763,-3.8365,21.9522,,,,,,,,,,,-88.9694,-4.6716,14.9772,-0.2439,-0.7248,-0.7968,20.9983,0.3656,1.2149,0.9230
1.4500,T000001,veh1,seg1,position+velocity,-87.7924,-3.9704,22.7475,,,,-87.6126,-4.1652,22.7475,,,,,-87.8456,-4.3492,15.8660,0.5937,0.4769,0.4249,22.1675,0.2327,0.8399,0.3825
1.5000,T000001,veh1,seg1,prediction_only,-87.0017,-4.2834,23.5978,,,,,,,,,,,-87.0517,-4.3190,15.8898,0.6149,0.4769,0.4249,22.9619,0.2614,0.9415,0.0614
1.5500,T000001,veh1,seg1,prediction_only,-86.2224,-4.2941,24.3772,,,,,,,,,,,-86.2566,-4.2878,15.9136,0.6362,0.4769,0.4249,23.7576,0.2968,1.0604,0.0348
1.6000,T000001,veh1,seg1,prediction_only,-85.4484,-4.1622,25.1624,,,,,,,,,,,-85.4604,-4.2554,15.9375,0.6574,0.4769,0.4249,24.5546,0.3394,1.2000,0.0940
1.6500,T000001,veh1,seg1,position+velocity,-84.6589,-4.4435,26.0005,,,,-84.4999,-4.2819,26.0005,,,,,-84.5947,-4.2578,16.0525,0.5800,0.4648,0.2754,25.4202,0.2315,0.8673,0.1965
1.7000,T000001,veh1,seg1,prediction_only,-83.8860,-4.2820,26.7901,,,,,,,,,,,-83.7915,-4.2284,16.0757,0.5938,0.4648,0.2754,26.2240,0.2617,0.9776,0.1086
1.7500,T000001,veh1,seg1,prediction_only,-83.0901,-4.7381,27.7075,,,,,,,,,,,-82.9871,-4.1984,16.0989,0.6076,0.4648,0.2754,27.0289,0.2990,1.1050,0.5494
1.8000,T000001,veh1,seg1,prediction_only,-82.3117,-4.7227,28.4860,,,,,,,,,,,-82.1816,-4.1677,16.1222,0.6213,0.4648,0.2754,27.8350,0.3441,1.2523,0.5700
1.8500,T000001,veh1,seg1,prediction_only,-81.5332,-4.7094,29.2646,,,,,,,,,,,-81.3749,-4.1363,16.1454,0.6351,0.4648,0.2754,28.6423,0.3977,1.4203,0.5946
1.9000,T000001,veh1,seg1,prediction_only,-80.7544,-4.7070,30.0434,,,,,,,,,,,-80.5671,-4.1042,16.1687,0.6489,0.4648,0.2754,29.4508,0.4604,1.6087,0.6313
1.9500,T000001,veh1,seg1,prediction_only,-79.9721,-4.7970,30.8309,,,,,,,,,,,-79.7580,-4.0714,16.1919,0.6626,0.4648,0.2754,30.2605,0.5330,1.8167,0.7565
2.0000,T000001,veh1,seg1,prediction_only,-79.1802,-5.1435,31.6953,,,,,,,,,,,-78.9479,-4.0379,16.2151,0.6764,0.4648,0.2754,31.0713,0.6164,2.0432,1.1298
2.0500,T000001,veh1,seg1,prediction_only,-78.3901,-5.4432,32.5403,,,,,,,,,,,-78.1365,-4.0037,16.2384,0.6902,0.4648,0.2754,31.8834,0.7115,2.2871,1.4617
2.1000,T000001,veh1,seg1,position+velocity,-77.6098,-5.4787,33.3214,,,,-77.8935,-5.8856,33.3214,,,,,-77.7731,-5.3519,15.2036,-2.2323,-0.8320,-2.9351,33.2796,0.2926,0.9370,0.2067
