t,sensor_type,sensor_id,vehicle_id_oracle,global_track_id,x,y,speed_mps,heading_rad,sigma_m,sigma_v,confidence,snr,accepted,skipped,skip_reason,update_kind,kalman_t,kalman_row_index
0.2101,Camera,cam1,veh1,T000001,-107.0727,-6.4082,15.5680,0.0373,0.2273,0.0000,0.5471,0.0000,1,0,,position+velocity,0.2101,0
0.3132,Camera,cam1,veh1,T000001,-104.9679,-6.4294,15.5680,0.0373,0.2264,0.0000,0.5551,0.0000,1,0,,position+velocity,0.3132,8
0.4194,Camera,cam1,veh1,T000001,-103.6842,-6.5418,15.5680,0.0373,0.2292,0.0000,0.5504,0.0000,1,0,,position+velocity,0.4194,17
0.6292,Camera,cam1,veh1,T000001,-100.5314,-6.3967,15.5680,0.0373,0.2293,0.0000,0.5588,0.0000,1,0,,position+velocity,0.6292,34
0.8383,Camera,cam1,veh1,T000001,-97.2531,-5.2200,15.5680,0.0373,0.2270,0.0000,0.5742,0.0000,1,0,,position+velocity,0.8383,51
0.9441,Camera,cam1,veh1,T000001,-95.8778,-4.9604,15.5680,0.0373,0.2273,0.0000,0.5769,0.0000,1,0,,position+velocity,0.9441,60
1.0504,Camera,cam1,veh1,T000001,-94.0840,-5.1563,15.5680,0.0373,0.2292,0.0000,0.5743,0.0000,1,0,,position+velocity,1.0504,69
1.2672,Camera,cam1,veh1,T000001,-90.8225,-5.5232,15.5680,0.0373,0.2353,0.0000,0.5623,0.0000,1,0,,position+velocity,1.2672,86
1.5839,Camera,cam1,veh1,T000001,-85.7058,-4.1745,15.5680,0.0373,0.2382,0.0000,0.5628,0.0000,1,0,,position+velocity,1.5839,111
1.6901,Camera,cam1,veh1,T000001,-84.0804,-4.6983,15.5680,0.0373,0.2412,0.0000,0.5568,0.0000,1,0,,position+velocity,1.6901,120
1.7926,Camera,cam1,veh1,T000001,-82.7930,-5.1321,15.5680,0.0373,0.2440,0.0000,0.5515,0.0000,1,0,,position+velocity,1.7926,128
2.0062,Camera,cam1,veh1,T000001,-79.3515,-4.7637,15.5680,0.0373,0.2488,0.0000,0.5430,0.0000,1,0,,position+velocity,2.0062,145
2.2108,Camera,cam1,veh1,T000001,-76.0427,-5.0821,15.5680,0.0373,0.2532,0.0000,0.5354,0.0000,1,0,,position+velocity,2.2108,161
2.4208,Camera,cam1,veh1,T000001,-72.3503,-4.4043,15.5680,0.0373,0.2554,0.0000,0.5338,0.0000,1,0,,position+velocity,2.4208,178
2.5332,Camera,cam1,veh1,T000001,-71.1185,-4.1891,15.5680,0.0373,0.2588,0.0000,0.5270,0.0000,1,0,,position+velocity,2.5332,187
2.6363,Camera,cam1,veh1,T000001,-68.8773,-4.5259,15.5680,0.0373,0.2616,0.0000,0.5216,0.0000,1,0,,position+velocity,2.6363,195
2.7422,Camera,cam1,veh1,T000001,-68.2597,-5.0838,15.5680,0.0373,0.2653,0.0000,0.5137,0.0000,1,0,,position+velocity,2.7422,204
2.8434,Camera,cam1,veh1,T000001,-65.9925,-4.8696,15.5680,0.0373,0.2674,0.0000,0.5103,0.0000,1,0,,position+velocity,2.8434,212
3.3598,Camera,cam1,veh1,T000001,-57.9770,-4.4191,15.5680,0.0373,0.2786,0.0000,0.4904,0.0000,1,0,,position+velocity,3.3598,252
3.5659,Camera,cam1,veh1,T000001,-55.3696,-4.3210,15.5680,0.0373,0.2842,0.0000,0.4798,0.0000,1,0,,position+velocity,3.5659,268
3.6686,Camera,cam1,veh1,T000001,-52.5461,-4.6310,15.5680,0.0373,0.2852,0.0000,0.4788,0.0000,1,0,,position+velocity,3.6686,276
3.7729,Camera,cam1,veh1,T000001,-52.3923,-3.8972,15.5680,0.0373,0.2882,0.0000,0.4730,0.0000,1,0,,position+velocity,3.7729,285
3.8776,Camera,cam1,veh1,T000001,-49.6152,-3.4605,15.5680,0.0373,0.2893,0.0000,0.4716,0.0000,1,0,,position+velocity,3.8776,294
3.9824,Camera,cam1,veh1,T000001,-48.6887,-3.8942,15.5680,0.0373,0.2922,0.0000,0.4660,0.0000,1,0,,position+velocity,3.9824,303
4.1889,Camera,cam1,veh1,T000001,-45.4308,-2.5782,15.5680,0.0373,0.2961,0.0000,0.4593,0.0000,1,0,,position+velocity,4.1889,319
4.2927,Camera,cam1,veh1,T000001,-43.9131,-2.5353,15.5680,0.0373,0.2987,0.0000,0.4543,0.0000,1,0,,position+velocity,4.2927,328
4.3567,GPS,gps1,veh1,T000001,-43.6791,-2.9812,15.5680,0.0373,3.2552,0.0000,0.3710,0.0000,1,0,,position+velocity,4.3567,333
4.3947,Camera,cam1,veh1,T000001,-41.5046,-2.8418,15.5680,0.0373,0.3010,0.0000,0.4502,0.0000,1,0,,position+velocity,4.3947,336
4.5629,GPS,gps1,veh1,T000001,-41.1044,-1.9806,15.5680,0.0373,3.0607,0.0000,0.4002,0.0000,1,0,,position+velocity,4.5629,349
4.7016,Camera,cam1,veh1,T000001,-37.2080,-2.2942,15.5680,0.0373,0.3079,0.0000,0.4377,0.0000,1,0,,position+velocity,4.7016,360
4.7670,GPS,gps1,veh1,T000001,-29.3540,-5.6578,15.5680,0.0373,2.8969,0.0000,0.4269,0.0000,1,0,,position+velocity,4.7670,366
4.8043,Camera,cam1,veh1,T000001,-36.3577,-2.4234,15.5680,0.0373,0.3109,0.0000,0.4321,0.0000,1,0,,position+velocity,4.8043,369
4.9711,GPS,gps1,veh1,T000001,-34.9515,-2.0013,15.5680,0.0373,2.7612,0.0000,0.4505,0.0000,1,0,,position+velocity,4.9711,382
5.1153,Camera,cam1,veh1,T000001,-31.0061,-2.0350,15.5680,0.0373,0.3183,0.0000,0.4187,0.0000,1,0,,position+velocity,5.1153,394
5.1814,GPS,gps1,veh1,T000001,-28.7174,0.8185,15.5680,0.0373,2.6509,0.0000,0.4707,0.0000,1,0,,position+velocity,5.1814,400
5.2198,Camera,cam1,veh1,T000001,-29.2668,-1.2805,15.5680,0.0373,0.3198,0.0000,0.4160,0.0000,1,0,,position+velocity,5.2198,403
5.3874,GPS,gps1,veh1,T000001,-23.7887,2.0479,15.5680,0.0373,2.5725,0.0000,0.4857,0.0000,1,0,,position+velocity,5.3874,416
5.4270,Camera,cam1,veh1,T000001,-26.5550,-1.1339,15.5680,0.0373,0.3247,0.0000,0.4071,0.0000,1,0,,position+velocity,5.4270,420
5.5992,GPS,gps1,veh1,T000001,-23.9022,-0.8021,15.5680,0.0373,2.5217,0.0000,0.4957,0.0000,1,0,,position+velocity,5.5992,434
5.6375,Camera,cam1,veh1,T000001,-22.6567,-0.5889,15.5680,0.0373,0.3298,0.0000,0.3980,0.0000,1,0,,position+velocity,5.6375,437
5.8056,GPS,gps1,veh1,T000001,-16.2051,-3.8338,15.5680,0.0373,2.5006,0.0000,0.4999,0.0000,1,0,,position+velocity,5.8056,450
5.8454,Camera,cam1,veh1,T000001,-19.4023,-1.8808,15.5680,0.0373,0.3359,0.0000,0.3873,0.0000,1,0,,position+velocity,5.8454,454
6.0160,GPS,gps1,veh1,T000001,-16.1406,-2.7508,15.5680,0.0373,2.5099,0.0000,0.4980,0.0000,1,0,,position+velocity,6.0160,468
6.2246,GPS,gps1,veh1,T000001,-15.8515,-0.5858,15.5680,0.0373,2.5481,0.0000,0.4905,0.0000,1,0,,position+velocity,6.2246,485
6.2640,Camera,cam1,veh1,T000001,-13.1182,-1.2888,15.5680,0.0373,0.3467,0.0000,0.3686,0.0000,1,0,,position+velocity,6.2640,489
6.4280,GPS,gps1,veh1,T000001,-14.3468,-1.7247,15.5680,0.0373,2.6140,0.0000,0.4777,0.0000,1,0,,position+velocity,6.4280,502
6.6371,GPS,gps1,veh1,T000001,-9.8582,-5.7954,15.5680,0.0373,2.7111,0.0000,0.4596,0.0000,1,0,,position+velocity,6.6371,519
6.8498,GPS,gps1,veh1,T000001,0.2702,-2.8090,15.5680,0.0373,2.8403,0.0000,0.4365,0.0000,1,0,,position+velocity,6.8498,536
7.0544,GPS,gps1,veh1,T000001,1.8617,4.5383,15.4264,0.0373,2.9930,0.0000,0.4110,0.0000,1,0,,position+velocity,7.0544,552
7.2631,GPS,gps1,veh1,T000001,3.3314,-0.9843,15.2426,0.0373,3.1754,0.0000,0.3827,0.0000,1,0,,position+velocity,7.2631,569
7.3027,Camera,cam1,veh1,T000001,2.7854,0.2561,15.2105,0.0373,0.3713,0.0000,0.3265,0.0000,1,0,,position+velocity,7.3027,573
7.4160,DAS,das1,veh1,T000001,5.3374,-0.3486,0.0000,-0.2487,0.3000,0.0000,0.9027,74.1911,1,0,,position,7.4160,582
7.4522,DAS,das1,veh1,T000001,4.8511,-0.2738,13.5936,2.9890,0.3000,14.0872,0.9095,80.3584,1,0,,position+velocity,7.4522,585
7.4900,DAS,das1,veh1,T000001,6.2061,-0.7900,38.3434,-0.3639,0.3000,13.4837,0.9112,82.0678,1,0,,position+velocity,7.4900,588
7.5160,Camera,cam1,veh1,T000001,6.4462,-0.7584,15.0517,-0.2487,0.3779,0.0000,0.3162,0.0000,1,0,,position+velocity,7.5160,591
7.5275,DAS,das1,veh1,T000001,6.9329,-0.4526,21.3559,0.4346,0.3000,13.5912,0.8901,64.7806,1,0,,position+velocity,7.5275,592
7.5678,DAS,das1,veh1,T000001,7.4092,-1.5904,30.6663,-1.1743,0.3000,12.6772,0.9183,89.9467,1,0,,position+velocity,7.5678,596
7.6072,DAS,das1,veh1,T000001,8.0208,-1.5110,15.6260,0.1292,0.3000,12.9184,0.8660,51.6883,1,0,,position+velocity,7.6072,600
7.6455,DAS,das1,veh1,T000001,8.1931,-2.2699,20.3181,-1.3476,0.3607,15.2269,0.7935,30.7481,1,0,,position+velocity,7.6455,603
7.6814,DAS,das1,veh1,T000001,8.4509,-1.6649,18.3281,1.1680,0.3097,14.5284,0.8391,41.7144,1,0,,position+velocity,7.6814,606
7.7195,DAS,das1,veh1,T000001,9.6842,-2.7007,42.2922,-0.6986,0.3385,14.6012,0.8135,34.9068,1,0,,position+velocity,7.7195,609
7.7567,DAS,das1,veh1,T000001,9.4521,-2.9064,8.3380,-2.4163,0.3542,15.4638,0.7994,31.8895,1,0,,position+velocity,7.7567,612
7.7945,DAS,das1,veh1,T000001,10.8626,-2.8257,37.4052,0.0572,0.3524,15.1716,0.8010,32.2083,1,0,,position+velocity,7.7945,615
7.8325,DAS,das1,veh1,T000001,10.6810,-2.8748,4.9449,-2.8775,0.3919,16.3499,0.7650,26.0478,1,0,,position+velocity,7.8325,618
7.8465,Camera,cam1,veh1,T000001,10.6241,-2.8001,14.8463,-0.2487,0.3878,0.0000,0.3018,0.0000,1,0,,position+velocity,7.8465,619
7.8723,DAS,das1,veh1,T000001,10.6952,-3.7025,20.8003,-1.5536,0.3680,14.8816,0.7869,29.5434,1,0,,position+velocity,7.8723,621
7.9121,DAS,das1,veh1,T000001,12.4145,-2.6821,50.2070,0.5356,0.3370,13.9182,0.8149,35.2117,1,0,,position+velocity,7.9121,625
7.9520,DAS,das1,veh1,T000001,13.4805,-2.5055,27.1337,0.1641,0.3543,14.4495,0.7993,31.8610,1,0,,position+velocity,7.9520,629
7.9914,DAS,das1,veh1,T000001,12.7053,-3.4867,31.6842,-2.2395,0.3848,15.5390,0.7716,27.0200,1,0,,position+velocity,7.9914,633
8.0315,DAS,das1,veh1,T000001,13.3354,-3.6310,16.1324,-0.2252,0.4022,15.8529,0.7556,24.7286,1,0,,position+velocity,8.0315,637
8.0697,DAS,das1,veh1,T000001,13.9645,-4.0709,20.0825,-0.6102,0.4472,18.1278,0.7143,19.9995,1,0,,position+velocity,8.0697,640
8.1079,DAS,das1,veh1,T000001,14.9894,-4.2358,27.2079,-0.1595,0.4200,17.2432,0.7392,22.6728,1,0,,position+velocity,8.1079,643
8.1447,DAS,das1,veh1,T000001,14.2130,-4.7663,25.5513,-2.5421,0.4019,17.2502,0.7558,24.7658,1,0,,position+velocity,8.1447,646
8.1828,DAS,das1,veh1,T000001,16.3164,-4.3511,56.1800,0.1949,0.4034,16.6865,0.7544,24.5760,1,0,,position+velocity,8.1828,649
8.2204,DAS,das1,veh1,T000001,16.4424,-3.8658,13.3490,1.3168,0.3523,15.2517,0.8012,32.2346,1,0,,position+velocity,8.2204,652
8.2567,DAS,das1,veh1,T000001,17.3420,-4.2704,27.2037,-0.4226,0.3159,14.5818,0.8336,40.0854,1,0,,position+velocity,8.2567,655
8.2963,DAS,das1,veh1,T000001,17.2213,-4.1070,5.1299,2.2071,0.3000,12.8756,0.8489,44.9466,1,0,,position+velocity,8.2963,659
8.3360,DAS,das1,veh1,T000001,17.9602,-3.8443,19.7485,0.3416,0.3022,12.9062,0.8456,43.8091,1,0,,position+velocity,8.3360,663
8.3733,Camera,cam1,veh1,T000001,17.7804,-4.3738,14.5998,-0.2487,0.4019,0.0000,0.2813,0.0000,1,0,,position+velocity,8.3733,666
8.3733,DAS,das1,veh1,T000001,19.1346,-4.9065,42.3758,-0.7352,0.3339,14.7303,0.8177,35.8740,1,0,,position+velocity,8.3733,666
8.4108,DAS,das1,veh1,T000001,18.3052,-5.3528,25.1251,-2.6480,0.3545,15.3561,0.7991,31.8223,1,0,,position+velocity,8.4108,669
8.4479,DAS,das1,veh1,T000001,19.2174,-4.5139,33.4049,0.7435,0.3292,14.6834,0.8219,36.9076,1,0,,position+velocity,8.4479,672
8.4861,Camera,cam1,veh1,T000001,19.7780,-3.8513,14.5574,-0.2487,0.4045,0.0000,0.2773,0.0000,1,0,,position+velocity,8.4861,675
8.4861,DAS,das1,veh1,T000001,20.2877,-4.2146,29.0804,0.2727,0.3000,13.3423,0.8906,65.1333,1,0,,position+velocity,8.4861,675
8.5258,DAS,das1,veh1,T000001,21.2202,-4.9924,30.6016,-0.6952,0.3000,12.8497,0.8901,64.7870,1,0,,position+velocity,8.5258,679
8.5653,DAS,das1,veh1,T000001,22.3751,-4.3353,33.6453,0.5173,0.3000,12.9112,0.8830,60.3726,1,0,,position+velocity,8.5653,683
8.6030,DAS,das1,veh1,T000001,21.6851,-5.4936,35.7447,-2.1081,0.3000,13.5185,0.8915,65.7252,1,0,,position+velocity,8.6030,686
8.6404,DAS,das1,veh1,T000001,22.3896,-4.9160,24.3453,0.6868,0.3000,13.6264,0.8808,59.1283,1,0,,position+velocity,8.6404,689
8.6775,DAS,das1,veh1,T000001,23.2900,-4.9098,24.3133,0.0068,0.3000,13.7673,0.8591,48.7886,1,0,,position+velocity,8.6775,692
8.6915,Camera,cam1,veh1,T000001,23.1610,-5.4702,14.4880,-0.2487,0.4101,0.0000,0.2697,0.0000,1,0,,position+velocity,8.6915,693
8.7175,DAS,das1,veh1,T000001,23.1210,-6.4533,38.8515,-1.6799,0.3000,12.7587,0.8501,45.3858,1,0,,position+velocity,8.7175,696
8.7571,DAS,das1,veh1,T000001,24.8409,-5.8273,46.1145,0.3491,0.3341,13.8751,0.8175,35.8302,1,0,,position+velocity,8.7571,700
8.7946,DAS,das1,veh1,T000001,24.5883,-6.7358,25.1411,-1.8419,0.3765,16.0743,0.7791,28.2163,1,0,,position+velocity,8.7946,703
8.8329,DAS,das1,veh1,T000001,24.8939,-6.1199,17.9827,1.1102,0.3390,14.5578,0.8131,34.8116,1,0,,position+velocity,8.8329,706
8.8701,DAS,das1,veh1,T000001,26.0093,-6.2660,30.2410,-0.1302,0.3176,14.2695,0.8321,39.6508,1,0,,position+velocity,8.8701,709
8.9075,DAS,das1,veh1,T000001,26.6190,-7.1583,28.8635,-0.9714,0.3969,16.7849,0.7605,25.3978,1,0,,position+velocity,8.9075,712
8.9447,DAS,das1,veh1,T000001,26.6204,-7.3872,6.1619,-1.5646,0.4166,17.5937,0.7423,23.0447,1,0,,position+velocity,8.9447,715
8.9848,DAS,das1,veh1,T000001,26.6848,-7.5725,4.8855,-1.2364,0.4117,16.1194,0.7468,23.5954,1,0,,position+velocity,8.9848,719
9.0247,DAS,das1,veh1,T000001,28.0811,-7.3869,35.3424,0.1322,0.3856,15.4144,0.7708,26.8982,1,0,,position+velocity,9.0247,723
9.0638,DAS,das1,veh1,T000001,28.6525,-7.2222,15.1903,0.2806,0.3607,14.8979,0.7935,30.7493,1,0,,position+velocity,9.0638,727
