t,global_track_id,vehicle_id_oracle,segment_id,update_kind,true_x,true_y,true_distance_m,gps_x,gps_y,gps_distance_m,cam_x,cam_y,cam_distance_m,das_x,das_y,das_fiber_position_m,das_distance_m,x_hat,y_hat,vx_hat,vy_hat,ax_hat,ay_hat,distance_hat_m,sigma_pos_m,sigma_vel_mps,pos_err_m
0.2101,T000001,veh1,seg1,position+velocity,-107.1530,-6.4676,3.7939,,,,-107.0727,-6.4082,3.7939,,,,,-107.0739,-6.4091,15.5572,0.5805,0.0000,0.0000,0.0000,0.3051,1.3076,0.0984
0.2231,T000001,veh1,seg1,prediction_only,-106.9673,-6.5504,3.9972,,,,,,,,,,,-106.8724,-6.4016,15.5572,0.5805,0.0000,0.0000,0.2017,0.3055,1.3079,0.1765
0.2360,T000001,veh1,seg1,prediction_only,-106.7682,-6.4589,4.2162,,,,,,,,,,,-106.6709,-6.3940,15.5572,0.5805,0.0000,0.0000,0.4034,0.3069,1.3091,0.1170
0.2490,T000001,veh1,seg1,prediction_only,-106.5679,-6.3275,4.4558,,,,,,,,,,,-106.4693,-6.3865,15.5572,0.5805,0.0000,0.0000,0.6050,0.3093,1.3118,0.1149
0.2619,T000001,veh1,seg1,prediction_only,-106.3625,-6.4261,4.6837,,,,,,,,,,,-106.2678,-6.3790,15.5572,0.5805,0.0000,0.0000,0.8067,0.3125,1.3163,0.1058
0.2749,T000001,veh1,seg1,prediction_only,-106.1696,-6.3883,4.8802,,,,,,,,,,,-106.0662,-6.3715,15.5572,0.5805,0.0000,0.0000,1.0084,0.3166,1.3232,0.1048
0.2878,T000001,veh1,seg1,prediction_only,-105.9557,-6.3403,5.0995,,,,,,,,,,,-105.8647,-6.3640,15.5572,0.5805,0.0000,0.0000,1.2101,0.3217,1.3330,0.0940
0.3008,T000001,veh1,seg1,prediction_only,-105.7549,-6.3376,5.3003,,,,,,,,,,,-105.6632,-6.3564,15.5572,0.5805,0.0000,0.0000,1.4118,0.3275,1.3461,0.0936
0.3132,T000001,veh1,seg1,position+velocity,-105.5539,-6.2838,5.5084,,,,-104.9679,-6.4294,6.4835,,,,,-105.2035,-6.3918,15.8413,0.5352,0.0173,-0.0028,1.8728,0.2214,1.0166,0.3666
0.3261,T000001,veh1,seg1,prediction_only,-105.3481,-6.0100,5.8508,,,,,,,,,,,-104.9983,-6.3848,15.8415,0.5351,0.0173,-0.0028,2.0781,0.2248,1.0213,0.5128
0.3391,T000001,veh1,seg1,prediction_only,-105.1387,-6.1624,6.1098,,,,,,,,,,,-104.7931,-6.3779,15.8417,0.5351,0.0173,-0.0028,2.2834,0.2290,1.0279,0.4074
0.3520,T000001,veh1,seg1,prediction_only,-104.9264,-6.4698,6.4835,,,,,,,,,,,-104.5878,-6.3710,15.8419,0.5351,0.0173,-0.0028,2.4888,0.2338,1.0368,0.3527
0.3650,T000001,veh1,seg1,prediction_only,-104.7008,-6.7545,6.8467,,,,,,,,,,,-104.3826,-6.3640,15.8422,0.5350,0.0173,-0.0028,2.6941,0.2393,1.0486,0.5037
